"plus sufficient training of a relevant nature acquired in an approved trade or vocational high school to make up a total of five years of acceptable experience. Six months of acceptable experience will be credited for each year of approved trade or vocational school training.\"",356.16
"Knowledge of NFPA 70E Electrical Safety practices and procedures and NYC Electrical Code.  Ability to read and understand construction, electrical and controls blueprints and schematics.  Strong communication skills and ability to build effective working relationships with other staff.  Basic computer literacy for entering and looking up work orders using computerized maintenance and management software. Demonstrated organizational, problem solving and common sense skills.  Experience in variable speed AC & DC drives.  Proven skills working in a small team environment.  Ability to work independently or with other trades.                              ***IN ORDER TO BE CONSIDERED FOR THIS POSITION CANDIDATES MUST BE SERVING PERMANENTLY IN THE TITLE OF ELECTRICIAN***",343.0
"* Experience with industrial construction activities; the repair or installation of commercial, industrial, or large residential machinery, piping, or electrical equipment; the operation of machine tools; the repair and overhaul of engines; residential or industrial plumbing; or the operation or repair of wastewater treatment plants or associated facilities. * Use power and hand tools * Repair and maintenance of mechanical equipment * Operate vehicles and powered industrial trucks * Ability to handle multiple priorities * Basic computer knowledge",334.08
"â€¢ Expertise in electrical and electronic diagnostic systems to help service auto equipment and motor vehicles â€¢ Experience working as an auto mechanic, auto electrician, automotive electrician or automotive technician â€¢ Knowledgeable of auto repairs and auto maintenance services",322.4
"LICENSE REQUIREMENTS:  Possession of a Motor Vehicle Driver License valid in the State of New York. For appointment to positions, possession of Class B Commercial Driver License (CDL) valid in the State of New York required. There may be certain age requirements to obtain this license. Employees must maintain the Class B Commercial Driver License (CDL) during their employment.",281.52
"all candidates must have at least three years of experience as described in \"\"1\"\" above.   License Requirements  At the time of appointment",254.96
"â€¢	Basic computer skills, such as using Electronic Medical Records; â€¢	Good communication skills.",78.59
"PREFERRED â€¢	Must be computer literate; knowledge of BMS systems, Archibus system, word & spreadsheets is necessary. â€¢	Employees work location may be changed based upon operational changes.",60.84
-Specialization in family or women's health   - Prior experience in public health and sexually transmitted infections (STI)  - Excellent interpersonal and communication skills especially working with adolescents and other diverse populations including rac,59.1084
one year of which must have been in a supervisory capacity,53.99
or sufficient training of a relevant nature acquired in an approved trade,52.79
specializing in electronics,48.95
will be reviewed and considered.  4.	Performance and time and attendance records of applicants will be reviewed and considered.  5.	Those selected for appointment may be required to travel to perform assigned work.    SPECIAL NOTE: This position is open to qualified persons with a disability who are eligible for the 55-a Program.  Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program.  For detailed information regarding the 55-a Program,44.82
